iter	Passed	Remaining
0	18	18059
1	33	16622
2	50	16646
3	65	16310
4	80	16005
5	95	15798
6	111	15828
7	126	15626
8	140	15426
9	153	15180
10	167	15101
11	185	15268
12	201	15317
13	217	15293
14	231	15208
15	245	15124
16	260	15077
17	274	14973
18	288	14895
19	301	14790
20	316	14755
21	331	14747
22	347	14749
23	362	14752
24	377	14728
25	393	14728
26	408	14707
27	422	14680
28	437	14648
29	450	14560
30	464	14517
31	478	14485
32	494	14493
33	509	14469
34	523	14436
35	539	14436
36	553	14404
37	568	14396
38	581	14340
39	597	14335
40	610	14287
41	627	14311
42	641	14286
43	658	14296
44	673	14286
45	689	14300
46	706	14315
47	721	14310
48	746	14485
49	764	14518
50	777	14475
51	792	14454
52	807	14431
53	822	14407
54	838	14413
55	854	14400
56	869	14383
57	884	14372
58	900	14359
59	915	14338
60	929	14314
61	944	14282
62	959	14276
63	975	14259
64	990	14248
65	1005	14222
66	1020	14216
67	1037	14213
68	1052	14203
69	1068	14198
70	1085	14205
71	1101	14200
72	1117	14191
73	1132	14171
74	1148	14162
75	1163	14148
76	1179	14141
77	1194	14124
78	1210	14109
79	1225	14098
80	1240	14076
81	1254	14043
82	1272	14056
83	1289	14061
84	1309	14092
85	1325	14082
86	1339	14061
87	1355	14049
88	1370	14023
89	1385	14006
90	1399	13981
91	1416	13975
92	1430	13948
93	1444	13925
94	1459	13902
95	1473	13879
96	1489	13867
97	1504	13847
98	1519	13826
99	1533	13802
100	1547	13778
101	1562	13754
102	1576	13729
103	1589	13698
104	1604	13678
105	1620	13669
106	1637	13665
107	1653	13653
108	1668	13640
109	1683	13619
110	1697	13599
111	1712	13575
112	1726	13554
113	1741	13535
114	1756	13514
115	1770	13495
116	1784	13469
117	1799	13451
118	1813	13429
119	1828	13412
120	1843	13390
121	1858	13371
122	1872	13349
123	1886	13325
124	1900	13305
125	1917	13303
126	1933	13288
127	1947	13269
128	1962	13251
129	1977	13231
130	1991	13212
131	2006	13193
132	2022	13181
133	2036	13164
134	2051	13142
135	2066	13127
136	2080	13106
137	2095	13090
138	2110	13073
139	2125	13056
140	2140	13039
141	2154	13016
142	2168	12994
143	2182	12976
144	2197	12955
145	2210	12931
146	2225	12913
147	2241	12902
148	2255	12881
149	2270	12866
150	2284	12844
151	2297	12818
152	2311	12794
153	2325	12775
154	2339	12754
155	2355	12741
