Feature,MutualInformation,Rank
num_pipeline__ContractRisk,0.09404401805565454,1
cat_pipeline__Contract_Month-to-month,0.08506961131116109,2
num_pipeline__MonthlyChargePerService,0.08095461145246063,3
num_pipeline__tenure,0.07666038619401228,4
cat_pipeline__TechSupport_No,0.061098442026099375,5
cat_pipeline__Contract_Two year,0.05780858377615483,6
cat_pipeline__TenureGroup_New,0.05637254024130667,7
cat_pipeline__OnlineSecurity_No,0.05536723505136121,8
num_pipeline__MonthlyCharges,0.05178630417378449,9
cat_pipeline__InternetService_Fiber optic,0.04612921814966975,10
num_pipeline__IsLongTermCustomer,0.04582400445747403,11
cat_pipeline__OnlineBackup_No,0.04373025396027019,12
cat_pipeline__TenureGroup_Very_Loyal,0.04055316338125414,13
num_pipeline__TotalCharges,0.03957421811990014,14
cat_pipeline__PaymentMethod_Electronic check,0.03779413984050217,15
num_pipeline__TotalServices,0.03411830025889406,16
cat_pipeline__TechSupport_Yes,0.0254298846595582,17
cat_pipeline__DeviceProtection_No,0.02480002905103018,18
cat_pipeline__InternetService_No,0.022786523545462734,19
num_pipeline__HasSecurityServices,0.019928393375203912,20
cat_pipeline__Dependents_No,0.019048981533063225,21
num_pipeline__HasFamily,0.018308172474958306,22
cat_pipeline__OnlineSecurity_Yes,0.013147840827876012,23
cat_pipeline__Contract_One year,0.01307732912723969,24
num_pipeline__SeniorCitizen,0.012847462020493916,25
cat_pipeline__PaperlessBilling_No,0.012640227449088437,26
cat_pipeline__StreamingMovies_No,0.011907392769293645,27
cat_pipeline__Partner_No,0.01160188130592732,28
cat_pipeline__StreamingTV_No,0.010740111035512978,29
cat_pipeline__PaymentMethod_Bank transfer (automatic),0.010308939963009411,30
cat_pipeline__TenureGroup_Loyal,0.009950813606922182,31
cat_pipeline__TenureGroup_Regular,0.008427730012054546,32
cat_pipeline__StreamingTV_Yes,0.008313995425214049,33
cat_pipeline__PaymentMethod_Credit card (automatic),0.007407484662145025,34
cat_pipeline__PaymentMethod_Mailed check,0.006512031443400623,35
cat_pipeline__StreamingMovies_Yes,0.00572378334535939,36
cat_pipeline__OnlineBackup_Yes,0.004467544209939556,37
cat_pipeline__MultipleLines_Yes,0.004379055653725761,38
num_pipeline__HasStreamingServices,0.0024647871329344095,39
num_pipeline__PaperlessAutoPay,0.0015570756763843008,40
cat_pipeline__gender_Female,0.0015074583274063968,41
cat_pipeline__DeviceProtection_Yes,0.00029008591577994736,42
cat_pipeline__PhoneService_No,0.0,43
cat_pipeline__MultipleLines_No,0.0,43
cat_pipeline__InternetService_DSL,0.0,43
